austen	emma	he was too angry to say another word ; her manner too decided to invite supplication ; and in this state of swelling resentment , and mutually deep mortification , they had to continue together a few minutes longer , for the fears of mr. woodhouse had confined them to a foot-pace . if there had not been so much anger , there would have been desperate awkwardness ; but their straightforward emotions left no room for the little zigzags of embarrassment . without knowing when the carriage turned into vicarage lane , or when it stopped , they found themselves , all at once , at the door of his house ; and he was out before another syllable passed.—emma then felt it indispensable to wish him a good night . the compliment was just returned , coldly and proudly ; and , under indescribable irritation of spirits , she was then conveyed to hartfield .
austen	emma	very sincerely did emma wish to do so ; but it was not immediately in her power . she was obliged to stop and think . she was not thoroughly comfortable herself . the young man ’ s conduct , and his sister ’ s , seemed the result of real feeling , and she could not but pity them . as harriet described it , there had been an interesting mixture of wounded affection and genuine delicacy in their behaviour . but she had believed them to be well-meaning , worthy people before ; and what difference did this make in the evils of the connexion ? it was folly to be disturbed by it . of course , he must be sorry to lose her—they must be all sorry . ambition , as well as love , had probably been mortified . they might all have hoped to rise by harriet ’ s acquaintance : and besides , what was the value of harriet ’ s description ? —so easily pleased—so little discerning ; —what signified her praise ?
austen	emma	“ then she is a greater simpleton than i ever believed her . what is the foolish girl about ? ” “ oh ! to be sure , ” cried emma , “ it is always incomprehensible to a man that a woman should ever refuse an offer of marriage . a man always imagines a woman to be ready for any body who asks her . ”
austen	emma	“ you have some news to hear , now you are come back , that will rather surprize you. ” “ have i ? ” said he quietly , and looking at her ; “ of what nature ? ” “ oh ! the best nature in the world—a wedding . ”
austen	emma	“ well , i always shall think that you play quite as well as she does , or that if there is any difference nobody would ever find it out . mr. cole said how much taste you had ; and mr. frank churchill talked a great deal about your taste , and that he valued taste much more than execution . ”
austen	emma	“ i do not ask whether you are musical , mrs. elton . upon these occasions , a lady ’ s character generally precedes her ; and highbury has long known that you are a superior performer . ”
austen	emma	they were now approaching the cottage , and all idle topics were superseded . emma was very compassionate ; and the distresses of the poor were as sure of relief from her personal attention and kindness , her counsel and her patience , as from her purse . she understood their ways , could allow for their ignorance and their temptations , had no romantic expectations of extraordinary virtue from those for whom education had done so little ; entered into their troubles with ready sympathy , and always gave her assistance with as much intelligence as good-will . in the present instance , it was sickness and poverty together which she came to visit ; and after remaining there as long as she could give comfort or advice , she quitted the cottage with such an impression of the scene as made her say to harriet , as they walked away ,
austen	emma	this letter , however , was written , and sealed , and sent . the business was finished , and harriet safe . she was rather low all the evening , but emma could allow for her amiable regrets , and sometimes relieved them by speaking of her own affection , sometimes by bringing forward the idea of mr. elton .
austen	emma	“ let me entreat you , ” cried mr. elton ; “ it would indeed be a delight ! let me entreat you , miss woodhouse , to exercise so charming a talent in favour of your friend . i know what your drawings are . how could you suppose me ignorant ? is not this room rich in specimens of your landscapes and flowers ; and has not mrs. weston some inimitable figure-pieces in her drawing-room , at randalls ? ”
austen	emma	“ only one more , papa ; only for mr. elton . poor mr. elton ! you like mr. elton , papa , —i must look about for a wife for him . there is nobody in highbury who deserves him—and he has been here a whole year , and has fitted up his house so comfortably , that it would be a shame to have him single any longer—and i thought when he was joining their hands to-day , he looked so very much as if he would like to have the same kind office done for him ! i think very well of mr. elton , and this is the only way i have of doing him a service . ”
austen	emma	“ i am here on no business of my own , ” said emma ; “ i am only waiting for my friend . she will probably have soon done , and then we shall go home . but you had better go with mrs. weston and hear the instrument . ”
